n_types,n_tokens,sample_id
3140,20000,16
3918,30000,16
4548,40000,16
5052,50000,16
5437,60000,16
5881,70000,16
6213,80000,16
6525,90000,16
6817,100000,16
6909,100000,16
9118,200000,16
10698,300000,16
11835,400000,16
12821,500000,16
13649,600000,16
14350,700000,16
82,100,17
139,200,17
182,300,17
240,400,17
273,500,17
306,600,17
354,700,17
381,800,17
397,900,17
449,1000,17
441,1000,17
763,2000,17
1024,3000,17
1217,4000,17
1396,5000,17
1518,6000,17
1721,7000,17
1852,8000,17
2024,9000,17
2141,10000,17
2106,10000,17
3194,20000,17
3881,30000,17
4503,40000,17
5101,50000,17
5443,60000,17
5906,70000,17
6294,80000,17
6574,90000,17
6841,100000,17
6855,100000,17
9082,200000,17
10757,300000,17
11895,400000,17
12857,500000,17
13636,600000,17
14353,700000,17
76,100,18
132,200,18
183,300,18
228,400,18
284,500,18
306,600,18
344,700,18
392,800,18
430,900,18
450,1000,18
438,1000,18
756,2000,18
1012,3000,18
1194,4000,18
1392,5000,18
1566,6000,18
1711,7000,18
1873,8000,18
2003,9000,18
2125,10000,18
2167,10000,18
3189,20000,18
3950,30000,18
4485,40000,18
4941,50000,18
5587,60000,18
5925,70000,18
6283,80000,18
6591,90000,18
6876,100000,18
6936,100000,18
9195,200000,18
10643,300000,18
11828,400000,18
12845,500000,18
13586,600000,18
14350,700000,18
76,100,19
141,200,19
195,300,19
243,400,19
281,500,19
302,600,19
345,700,19
383,800,19
436,900,19
445,1000,19
459,1000,19
734,2000,19
956,3000,19
1182,4000,19
1391,5000,19
1544,6000,19
1680,7000,19
1867,8000,19
1931,9000,19
2159,10000,19
2080,10000,19
3119,20000,19
3899,30000,19
4504,40000,19
5057,50000,19
5414,60000,19
5895,70000,19
6294,80000,19
6610,90000,19
6863,100000,19
6948,100000,19
9116,200000,19
10734,300000,19
11770,400000,19
12817,500000,19
13667,600000,19
14353,700000,19
78,100,20
130,200,20
188,300,20
230,400,20
275,500,20
319,600,20
333,700,20
409,800,20
437,900,20
450,1000,20
467,1000,20
777,2000,20
1001,3000,20
1205,4000,20
1357,5000,20
1509,6000,20
1723,7000,20
1854,8000,20
1974,9000,20
2128,10000,20
2135,10000,20
3138,20000,20
3913,30000,20
4504,40000,20
5022,50000,20
5510,60000,20
5839,70000,20
6290,80000,20
6462,90000,20
6862,100000,20
6851,100000,20
9195,200000,20
10725,300000,20
11832,400000,20
12781,500000,20
13623,600000,20
14342,700000,20
76,100,21
133,200,21
186,300,21
234,400,21
280,500,21
321,600,21
345,700,21
395,800,21
418,900,21
453,1000,21
458,1000,21
743,2000,21
959,3000,21
1215,4000,21
1356,5000,21
1511,6000,21
1726,7000,21
1869,8000,21
1998,9000,21
2148,10000,21
2145,10000,21
3137,20000,21
3924,30000,21
4481,40000,21
5041,50000,21
5517,60000,21
5914,70000,21
6215,80000,21
6507,90000,21
6966,100000,21
6869,100000,21
9150,200000,21
10648,300000,21
11790,400000,21
12792,500000,21
13696,600000,21
14364,700000,21
77,100,22
131,200,22
192,300,22
226,400,22
280,500,22
316,600,22
337,700,22
393,800,22
399,900,22
456,1000,22
486,1000,22
718,2000,22
1002,3000,22
1160,4000,22
1426,5000,22
1515,6000,22
1730,7000,22
1933,8000,22
1951,9000,22
2135,10000,22
2168,10000,22
3182,20000,22
3927,30000,22
4509,40000,22
5011,50000,22
5455,60000,22
5876,70000,22
6184,80000,22
6448,90000,22
6897,100000,22
6876,100000,22
9162,200000,22
10741,300000,22
11842,400000,22
12815,500000,22
13629,600000,22
14360,700000,22
75,100,23
141,200,23
191,300,23
231,400,23
263,500,23
320,600,23
348,700,23
392,800,23
458,900,23
450,1000,23
433,1000,23
721,2000,23
1006,3000,23
1196,4000,23
1380,5000,23
1560,6000,23
1711,7000,23
1854,8000,23
2002,9000,23
2094,10000,23
2154,10000,23
3167,20000,23
3897,30000,23
4581,40000,23
4991,50000,23
5512,60000,23
5925,70000,23
6259,80000,23
6529,90000,23
6898,100000,23
6912,100000,23
9186,200000,23
10660,300000,23
11774,400000,23
12877,500000,23
13622,600000,23
14344,700000,23
82,100,24
128,200,24
171,300,24
214,400,24
263,500,24
312,600,24
336,700,24
369,800,24
441,900,24
452,1000,24
466,1000,24
744,2000,24
976,3000,24
1165,4000,24
1394,5000,24
1542,6000,24
1726,7000,24
1890,8000,24
1997,9000,24
2111,10000,24
2096,10000,24
3156,20000,24
3915,30000,24
4501,40000,24
5007,50000,24
5481,60000,24
5867,70000,24
6198,80000,24
6563,90000,24
6773,100000,24
6834,100000,24
9081,200000,24
10668,300000,24
11834,400000,24
12803,500000,24
13594,600000,24
14356,700000,24
77,100,25
123,200,25
181,300,25
228,400,25
289,500,25
305,600,25
345,700,25
383,800,25
437,900,25
455,1000,25
465,1000,25
768,2000,25
1011,3000,25
1199,4000,25
1376,5000,25
1580,6000,25
1711,7000,25
1843,8000,25
1998,9000,25
2136,10000,25
2085,10000,25
3166,20000,25
3948,30000,25
4511,40000,25
4981,50000,25
5416,60000,25
5917,70000,25
6195,80000,25
6634,90000,25
6877,100000,25
6892,100000,25
9144,200000,25
10766,300000,25
11889,400000,25
12830,500000,25
13659,600000,25
14343,700000,25
78,100,26
140,200,26
176,300,26
232,400,26
260,500,26
297,600,26
372,700,26
396,800,26
414,900,26
465,1000,26
479,1000,26
739,2000,26
1037,3000,26
1192,4000,26
1382,5000,26
1521,6000,26
1725,7000,26
1916,8000,26
1964,9000,26
2144,10000,26
2176,10000,26
3128,20000,26
3891,30000,26
4509,40000,26
5084,50000,26
5449,60000,26
5867,70000,26
6231,80000,26
6553,90000,26
6983,100000,26
6936,100000,26
9168,200000,26
10618,300000,26
11857,400000,26
12797,500000,26
13618,600000,26
14330,700000,26
72,100,27
139,200,27
188,300,27
240,400,27
253,500,27
330,600,27
336,700,27
376,800,27
399,900,27
479,1000,27
463,1000,27
770,2000,27
1007,3000,27
1222,4000,27
1359,5000,27
1613,6000,27
1692,7000,27
1893,8000,27
2030,9000,27
2127,10000,27
2128,10000,27
3068,20000,27
